ID,cycles,T24,T30,T50,Nf,Nc,Ps30,phi,NRf,NRc,BPR,htBleed,W31,W32,labels
1,1,641.82,1589.7,1400.6,2388.06,9046.19,47.47,521.66,2388.02,8138.62,8.4195,392,39.06,23.419,0
1,2,642.15,1591.82,1403.14,2388.04,9044.07,47.49,522.28,2388.07,8131.49,8.4318,392,39.0,23.4236,0
1,3,642.35,1587.99,1404.2,2388.08,9052.94,47.27,522.42,2388.03,8133.23,8.4178,390,38.95,23.3442,0
1,4,642.35,1582.79,1401.87,2388.11,9049.48,47.13,522.86,2388.08,8133.83,8.3682,392,38.88,23.3739,0
1,5,642.37,1582.85,1406.22,2388.06,9055.15,47.28,522.19,2388.04,8133.8,8.4294,393,38.9,23.4044,0
1,6,642.1,1584.47,1398.37,2388.02,9049.68,47.16,521.68,2388.03,8132.85,8.4108,391,38.98,23.3669,0
1,7,642.48,1592.32,1397.77,2388.02,9059.13,47.36,522.32,2388.03,8132.32,8.3974,392,39.1,23.3774,0
1,8,642.56,1582.96,1400.97,2388.0,9040.8,47.24,522.47,2388.03,8131.07,8.4076,391,38.97,23.3106,0
1,9,642.12,1590.98,1394.8,2388.05,9046.46,47.29,521.79,2388.05,8125.69,8.3728,392,39.05,23.4066,0
1,10,641.71,1591.24,1400.46,2388.05,9051.7,47.03,521.79,2388.06,8129.38,8.4286,393,38.95,23.4694,0
1,11,642.28,1581.75,1400.64,2388.05,9049.61,47.15,521.4,2388.01,8140.58,8.434,392,38.94,23.4787,0
1,12,642.06,1583.41,1400.15,2388.09,9049.37,47.18,521.8,2388.02,8134.25,8.3938,391,39.06,23.366,0
1,13,643.07,1582.19,1400.83,2388.12,9046.82,47.38,521.85,2388.08,8128.1,8.4152,393,38.93,23.2757,0
1,14,642.35,1592.95,1399.16,2388.09,9047.37,47.44,521.67,2388.0,8134.43,8.3964,393,39.18,23.3826,0
1,15,642.43,1583.82,1402.13,2388.11,9052.22,47.3,522.5,2388.08,8127.56,8.4199,391,38.99,23.35,0
1,16,642.13,1587.98,1404.5,2388.05,9049.34,47.24,521.49,2388.07,8136.11,8.3936,392,38.97,23.455,0
1,17,642.58,1584.96,1399.95,2388.06,9054.92,47.12,521.89,2388.04,8137.27,8.4542,392,38.81,23.3319,0
1,18,642.62,1591.04,1396.12,2388.05,9049.55,47.21,521.76,2388.07,8132.73,8.4028,392,38.89,23.3987,0
1,19,641.79,1587.56,1400.35,2388.04,9053.99,47.4,521.89,2388.03,8129.13,8.4321,391,38.8,23.3464,0
1,20,643.04,1581.11,1405.23,2388.05,9045.9,47.22,522.07,2388.02,8129.71,8.421,392,39.03,23.422,0
1,21,642.37,1586.07,1398.13,2388.11,9048.15,47.15,522.42,2388.08,8134.02,8.4049,392,39.09,23.3101,0
1,22,642.77,1592.93,1400.57,2388.04,9061.21,47.24,522.0,2388.03,8130.41,8.4034,392,38.92,23.3792,0
1,23,642.14,1588.19,1394.75,2388.05,9046.28,47.25,521.52,2388.05,8127.9,8.424,392,38.94,23.4562,0
1,24,642.38,1590.83,1398.81,2388.12,9043.76,47.44,522.13,2388.03,8133.88,8.3891,392,39.0,23.3696,0
1,25,642.77,1594.1,1399.39,2388.02,9054.16,47.36,522.56,2388.02,8136.61,8.3917,393,38.95,23.4288,0
1,26,642.16,1589.08,1396.07,2388.07,9047.11,47.26,522.28,2388.06,8131.15,8.426,394,38.86,23.4149,0
1,27,642.44,1590.47,1401.84,2388.02,9047.96,47.37,522.0,2388.13,8134.6,8.4046,393,38.99,23.4472,0
