cycles,T24,T30,T50,Nf,Nc,Ps30,phi,NRf,NRc,BPR,htBleed,W31,W32
-0.146814,-0.216867,0.002398,0.288319,-0.181818,-0.656556,0.011905,-0.066098,-0.2941176,-0.49613,0.05733,0,-0.069767,0.085059
-0.141274,0.048193,0.013298,0.077313,-0.242424,-0.580813,0.083333,-0.249467,-0.1470588,-0.540716,0.232012,0.166667,0.007752,0.051643
-0.135734,-0.10241,-0.493351,0.033423,-0.393939,-0.594813,-0.059524,-0.108742,-0.2352941,-0.541336,0.067334,0.166667,-0.193798,-0.114609
-0.130194,0.006024,-0.251363,0.03106,-0.242424,-0.622184,0.27381,-0.08742,-0.1176471,-0.588502,-0.115044,0.166667,-0.131783,-0.071251
-0.124654,-0.024096,0.062568,0.065159,-0.333333,-0.585659,-0.142857,0.027719,-0.0882353,-0.565899,0.191997,0,-0.023256,0.037835
-0.119114,0.174699,0.017223,-0.011816,-0.181818,-0.62712,-0.071429,0.1258,-0.1764706,-0.554546,0.08888,-0.166667,-0.116279,-0.451257
-0.113573,0.042169,0.065184,0.336259,-0.363636,-0.588531,-0.238095,-0.031983,-0.3529412,-0.530705,0.004232,0.166667,-0.271318,-0.080641
-0.108033,0.060241,-0.162416,-0.127616,-0.272727,-0.659697,0.166667,-0.377399,-0.0294118,-0.651254,0.075029,0,-0.348837,-0.162938
-0.102493,0.427711,0.085677,0.092505,-0.484848,-0.573544,-0.154762,-0.053305,-0.2058824,-0.531634,-0.022701,0,-0.209302,-0.231428
-0.096953,0.054217,0.075213,0.27819,-0.212121,-0.587275,0.047619,-0.108742,-0.4411765,-0.537207,0.192766,0.166667,0.054264,0.251864
-0.091413,0.162651,-0.101809,0.043889,-0.151515,-0.643812,0.071429,0.1258,-0.2941176,-0.506038,0.016545,0.166667,-0.023256,0.032035
-0.085873,0.072289,-0.086549,0.017218,-0.181818,-0.602172,0.059524,-0.164179,-0.0882353,-0.561255,0.165833,-0.166667,-0.100775,-0.202154
-0.080332,0.192771,0.145847,0.189061,-0.121212,-0.582159,-0.011905,0.104478,-0.3235294,-0.581278,-0.022701,0,-0.255814,0.027341
-0.074792,0.295181,0.227382,0.112424,-0.151515,-0.559006,0.154762,-0.270789,-0.1176471,-0.553308,0.078876,0,-0.44186,-0.060757
-0.063712,0.174699,0.233486,0.231263,-0.424242,-0.549583,0.154762,-0.211087,-0.2352941,-0.53762,0.368219,0,-0.116279,-0.153825
-0.069252,-0.192771,-0.023763,0.394328,-0.181818,-0.630171,0.154762,-0.202559,-0.2058824,-0.59294,0.499808,0.166667,-0.069767,-0.509528
-0.058172,0.048193,0.021583,0.462863,-0.242424,-0.57507,0.214286,-0.202559,-0.2647059,-0.552792,0.048095,0,-0.162791,-0.118476
-0.052632,0.228916,0.172444,0.393315,-0.30303,-0.623171,0.142857,-0.317697,0.0294118,-0.599649,0.058099,-0.166667,-0.426357,-0.048329
-0.047091,0.445783,0.23087,0.324781,-0.181818,-0.671991,-0.035714,-0.014925,-0.1470588,-0.555682,0.144286,0.5,-0.534884,-0.326153
-0.041551,0.018072,0.055592,0.012492,-0.30303,-0.614736,0.369048,-0.198294,-0.2352941,-0.552276,0.295883,0.166667,-0.364341,-0.170671
-0.036011,0.228916,0.13015,0.38555,-0.181818,-0.552095,-0.035714,-0.223881,-0.0000001,-0.60481,0.191227,0,-0.007752,-0.119028
-0.030471,0.10241,0.038587,0.197164,-0.212121,-0.603338,0.333333,-0.172708,-0.3235294,-0.572195,-0.005771,0.333333,-0.224806,-0.310964
-0.024931,0.078313,-0.037715,0.268737,-0.181818,-0.614915,0,-0.484009,-0.0882353,-0.573021,0.285879,0,-0.03876,-0.160177
-0.019391,0.313253,-0.066492,0.228562,-0.181818,-0.61321,0.178571,-0.245203,-0.2058824,-0.58458,0.305117,-0.166667,0.069767,-0.143331
-0.01385,0.373494,0.330281,0.27684,-0.212121,-0.618056,0.416667,-0.185501,0.0294118,-0.553927,0.360523,0,-0.116279,-0.212372
-0.00831,0.156627,0.198169,0.266036,0,-0.665799,0.22619,-0.317697,0.0588235,-0.59645,0.666025,0,-0.364341,-0.400718
-0.00277,0.524096,0.532156,0.402093,-0.242424,-0.646864,0.321429,-0.117271,-0.0294118,-0.528228,0.185841,0.166667,-0.271318,-0.125932
0.00277,0.403614,-0.176368,0.311276,0,-0.615723,0.392857,-0.296375,-0.0000001,-0.592631,0.098884,0.333333,-0.193798,-0.380282
0.00831,0.277108,0.444953,0.378798,0.030303,-0.649287,0.428571,-0.343284,0.0294118,-0.611002,0.619854,0.5,-0.426357,-0.304612
0.01385,0.53012,0.049924,0.260972,-0.272727,-0.598313,0.52381,-0.168443,-0.0294118,-0.598307,0.108888,0.166667,-0.674419,-0.640983
